Author,Timestamp,Likes,Total_Replies,Comment_Content
@Odigo_ost,26:26,5,3,"26:26 - ""fairy tale"" about tariffs... who can explain to me how China is actually 'paying' tariffs? When I receive goods from China, UPS charges ME additional taxes and duties on top of the actual product cost. China have the same price for products all over the world and it's the buyer's responsibility to pay import taxes, so Trump makes American people pay more and talks nonsense about how all the world is paying tariffs – what nonsense, who is buying this? In this situation, either he is an idiot, or he thinks American people are all idiots."
@jajajagtfo5208,1:45:33,0,0,"1:45:33 ""i said oooo"" that should be a meme, its great"
@g2a1e11,15:27,0,0,❤😂🎉😢😮😅😊😅😮😢🎉😂😂❤😂😂🎉😢😢😮😮😅😅😊😊😊😅😅😮😮😢😢🎉🎉😂😂❤❤❤😂🎉😢😮 15:27 15:27 15:28 15:28 15:28 15:28
@artavian2459,59:52,2,0,59:52 Joe was flattered lmao
@orgalia,2:47:10,0,0,2:47:10 MARS
@orgalia,2:45:15,0,0,2:45:15 “… the people coming from space” That’s an unusual turn of phrase. he’s dropping so many hints …
@Rooster1997-w1c,22:03,0,0,The biggest beef stake 22:03
@Vool2go,1:13:38,0,0,1:13:38 GuGG
@Vool2go,36:41,0,0,lol 36:41 ok don't have guns!
@Technowise_,1:39:16,1,0,1:39:16 cold
@Mr_Eddie117,2:05:51,1,0,2:05:51 Trump turned into Captain America for a sec.
@Drew03_,1:52:33,1,0,1:52:33 people forget man
@TheChamber1,1:25:56,1,0,1:25:56 Some day Vladimir Putin will tell you… Vladimir Putin 8/18/25: I can confirm that if President Trump were president the war would’ve never happened I can confirm it…
@monkeyballs2342,39:27,0,0,@39:27 “I came up with this” fucking gold peak podcast
@Darin-mm9li,1:00:52,0,0,"1:00:52 our president just said that canada ""has more water than they could ever use"" if that is the case..... WHY IS IT BURNINGGGGGG WHY ARENT THEY USING THE WATERRRRR MAYBE ITS TOO HOT OUTSIDE AND ALL THE PLANTS ARE DYINGGGGGG FUCK"
@Sotica1324,3:24,1,1,3:24
@mysteriousegg389,1:04,0,0,"1:04 controlled burns, the indians used to do it. Some states still do it but not everyone does."
@EelisWalking,2:45:15,0,0,2:45:15 Trump's reaction and facial expression to Joe's alien question is deeply troubling. He knows stuff and it isn't good
@AubrieC-u3v,38:38,3,0,38:38 Trump just farted😭🙏🏻
@RANCHES_up,1:04:21,1,0,1:04:21
@JayDuran-e5h,1:28:19,0,0,Okay. 1:28:19 but what about the nights for Knights? And quack? 1:28:35
@JayDuran-e5h,1:28:00,0,0,Welcome to skull and bones 1:28:00
@JayDuran-e5h,1:25:55,0,0,Pussy riot and putin didn't really know there was a riot...that is why i shit talk a little... 1:25:55
@jackiekennedy4902,2:58:49,7,0,Joe getting conned by a conman for 2:58:49.
@Josh0507,16:01,0,1,16:01 yup 3rd parties never work
@Josh0507,15:11,2,3,15:11 I love Trump man
@Josh0507,13:13,0,0,13:13 so cool
@SulphuricGyo,1:03:45,0,0,1:03:45
@Rottgi,6:23,1,0,"God gave his holy law the 10 commandments. Sinning means breaking his law; all have sinned, and if you do not get saved, you will be guilty on judgment day and go to hell for your sins. Sin has a price, we are paid in death for sin. ""For the wages of sin is death; but the gift of God is eternal life through Jesus Christ our Lord."" -Romans 6:23 KJV The Lord Jesus Christ never sinned but suffered and died for our sins on the cross, was buried, and rose from the dead the third day, so that once we believe on him and call upon his name, our sins are cleansed through his blood so that we will be innocent on judgment day through him and go to heaven and not hell for our sins. ""For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life."" -John 3:16 KJV ""That if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved."" -Romans 10:9 KJV ""For whosoever shall call upon the name of the Lord shall be saved."" -Romans 10:13 KJV"
@StrangeChickandPuppo,01:20:32,3,0,01:20:32 where they talk about his ear
@serjackson2586,1:07:50,0,0,"This interview was awesome and I can get behind so many things Trump said. But he lost me at 1:07:50. Windmills bad, Oil good. Definitely has big oil companies supporting his campaign. Not saying Trump is bad for that, you gotta play the game to win. I just hope for a day when big corporations don’t affect politics. I’m probably naive though because it’s been like that since ancient times"
@goldenchild1036,45:10,0,0,Not a Kamala person but maybe kabib . 45:10 🤔 interesting
@TheBearGrappler,2:55:59,3,12,"2:55:59 - ""all you have to do to them is charge them tariffs"" <--and there you have it."
@NikhilSharma-gd8hm,44:41,1,0,44:41
@shadowstack,2:45:22,0,0,"2:45:22 - Trump said they've told him ""a lot"" regarding UAPs, then Joe seemingly shuts down the idea of living species on Mars at 2:47:00"
@monicav.704,2:30:26,0,0,"2:30:26 what fudging food stamps Joe Rogan? For the last time: If you're talking about undocumented immigrants ""from parts unknown"" THEY DON'T QUALIFY FOR FEDERAL AID 📢📢📢. Also yes an amnesty, with that you get a social security number, you get permission to work, you (continue to) pay taxes into the system, and the government gets all your information. Is that really so bad?"
@vooicu2,42:51,3,2,42:51 well
@thebiscuitplays1639,1:31:18,1,0,1:31:18
@C4PTAIN-m4z,2:15:29,1,0,2:15:29 😂
@manumallik994,56:00,1,0,56:00
@Douglas_413,1:03:46,15,0,1:03:46 That aged so well. Months after this California burnt like gasoline on a bonfire
@cbandzarchive,26:45,2,0,Damn we cooked Iran 26:45
@HughJarsol69,2:49:19,2,0,2:49:19 How to dodge a question lol
@stankyman,2:12:34,0,0,2:12:34 did he just say he's got a Chinese listening device on him?
@stankyman,1:05:09,0,0,1:05:09 what about general forest health. Fungi and microbes pay an important part in regulating forest health long term.
@aliog9944,43:46,0,0,43:46
@josoverthehill,24:13,0,1,"24:13 ""I always got more publicity than other people, and it wasn't exactly like I was trying."" That has to be the funniest thing he has EVER said. I'm rolling on the ground right now. He has lived his entire life DESPERATE to be in the public eye. It is VERY WELL DOCUMENTED how he'd call up media outlets pretending to be his own ""spokesman,"" so he could 'reveal' something about DT. IT's how he was able to squirrel away all his campaign cash for himself; he was so outrageous in his 2016 campaign he was covered for FREE. He didn't have to spend any money. The only problem he didn't anticipate? That he was actually going to WIN!!!!!! When he actually croaks, no one's gonna believe it. They're gonna think he's lying, as if in preparation for him to 'come back from the dead' or something. SMH. Dude just can't stop lying."
@josoverthehill,12:26,0,2,12:26 He needs to stop saying he never ran for office. He ran in 2000 on the Reform Ticket and got delegates. How nice; the first thing he learned about being a politician was how to lie.
@user-zw5tp3qn4s,09:25,1,0,14/06/2025 ~ 09:25 pm
@Carbon_Based_Life_Form,1:40:10,0,0,1:40:10
@503HomeSkoolin,11:50,0,0,You got some discussion with King Charles III about that 11:50
@503HomeSkoolin,10:06,0,0,Ewww 10:06 10:07 language writer
@503HomeSkoolin,9:25,0,0,Thanks 9:25 for speaking for zabel Nathan and i
@503HomeSkoolin,2:16,0,0,Awesome clear. 2:16
@stephanwackman5816,42:53,6,1,42:53 this aged well
@waxypooh,2:15:25,3,3,2:15:25 LMFAOOO
@JohnFamulari,4:16,1,0,4:16 they hate him now
@iketerrible6661,2:36:16,7,1,2:36:16 he said “Gavin NewSCUM” 😂😂😂😂
@oscarmarfori613,44:34,1,0,44:34 Please Mr President try to convince Elon to bring Tesla to the USA and take away from China America should prosper for the Technology Elon brought in these world and Americans should be the one benefit from and not China
@mearealex,1:13:37,0,0,1:13:37
@resolute7627,10:30,0,0,"Liar gavin newscum will speak lies regarding the revised 2025-26 california state budget deficit today may 14, 2025 at approximately 10:30 am PST in sacramento. the first two questions asked by reporters should be ""WHAT HAPPENED TO THE $333 MILLION DOLLAR BUDGET ""SURPLUS"" YOU BRAGGED ABOUT IN JANUARY LIAR""? AND WHY IS CALIFORNIA $600 BILLION DOLLARS IN DEBT LIAR? What we are witnessing in california is the financial death of a communist state."
@4504595,40:40,2,0,@40:40 You read about that? It's a comlete fiction. There is not currently a plan from China to build an auto factory in Mexico. Trump did not scare away this pretend auto factory.
@ramyalzuhouri568,2:22:43,1,0,"2:22:43 the tin foil hatter doesn't like fact checking, what a surprise 😂"
@bradstevens4699,2:37:00,0,2,"@2:37:00 voterid costs money, you are required to show proof when you register to vote. If you move, you have to get your new I’d, new everything. You also need to get a new voter Id then. If you move around election time, get a new voter Id, but it doesn’t show up in time, you won’t be allowed to vote. That’s unconstitutional."
@ramyalzuhouri568,1:50:15,0,0,"1:50:15 It might seem a paradox but the more a combat sport is violent, the less damage people at the end of their career are getting. Because what causes CTE is repeated hits. No matter how hard they are, if a boxer gets hit repeteadly for thousand times to the head, they end up having brain damage in the long run. UFC is more brutal and you can get knocked out in a few seconds. You don't get thousand hits in a match."
@NickNashty,19:00,0,0,19:00 bro got musk now lmao
@axelhenderson1994,2:02:20,2,1,2:02:20 lol we dont like baldness!
@RohanNairTT,2:15:31,0,0,2:15:31 😅😅
@norfangl3480,41:00,5,0,41:00 this aged well
@redbackshanto4164,35:12,0,0,35:12 Khabib 😂 Can you imagine man Most power country in the world sitting president talks about khabib Not only that 2nd most power country’s Russian president Putin wasted his fight against Dimond P also had 2 interview with Khabib and his Dad. Khabib chanced the game forever
@Uncle.Sheep.Speech,40:49,4,0,40:49 if i got time machine.....i would get RICH i think.....(2025/4/3)
@jermainemclemorejr3555,36:19,1,0,36:19 Goldie crazy Maine 😂😂😂😂
@MayBlake_Channel,25:30,0,0,"25:30 ""you have to have an attitude of a comedian to do this job."" I'll be holding onto that! I think I need to take my channel a little more light-heartedly because I'm too afraid of making things that aren't good enough. Plus, I plan on being presto one day so that could be good practice! Đ"
@zachaguilar8048,35:45,0,0,35:45 would you eat an apple pie with one bad apple?
@ytToxicDreams,10:28,0,0,"10:28 I think he's talking about Islam Makhachev. But he was probably 24-1, Volk 2 fight"
@XD226,1:30:00,0,0,1:30:00
@goodfty,2:00:47,4,0,2:00:47 I just love how serious Trump was there. I wish Joe stopped for a moment. That was genuine and a window into him. He sincerely feels absolutely nothing for those with tons of money and power being upset with him. Dude is a fucking lion.
@jasonking971,59:54,3,0,59:54 that was a funny giggle lol. Like he blushed when Trump complimented him
@jjmayank,1:14:30,0,2,"1:14:30 I respect you Joe, but Nuclear Science was not Yours to Give or Prevent India from getting."
@MathieuGauthier-fj9lm,44:53,4,0,44:53 Best part of the podcast 🤣
@resolute7627,4:20,0,0,"the Murder of Seth Rich - The murder of Seth Rich occurred on July 10, 2016, at 4:20 a.m. in the Bloomingdale neighborhood of Washington, D.C. Rich died about an hour and a half after being shot twice in the back. The perpetrators were never apprehended; police suspected he had been the victim of an attempted robbery . . thanks joe biden"
@alanromani,28:50,1,0,28:50 omg 😭
@barryromano0451,1:33:00,1,0,1:33:00 this whole segment of speaking about the flight to Afghanistan reveals a lot about trump himself. Him stating how he likes to sit up in the front with the pilots and how highly he speaks of them I think reveals how much he misses his brother. He speaks very highly of pilots during the entire segment.
@nickbloom6861,33:30,0,0,33:30
@Yeezus111,10:30,0,0,10:30 which fight was he talking about?
@702RetiredGambler,47:04,0,0,47:04 Let’s get back to tariffs 😂😂ik convinced Prez Trump wants to send the world into a recession with the US coming out on top similar to WWII
@CognitiveDissonanic,2:56:45,1,0,2:56:45 BITXH PAY ME 🤣🤣
@jijidada-q1j6m,1:36:21,2,1,1:36:21 funniest moment 😅
@donwon7592,16:28,1,0,16:28 bernie sanders.
@Sigmagunslinger,1:26:32,1,0,1:26:32 1:38:50 red button 1:57:48 Toxic foods 2:45:14 People coming from space 2:48:09
@Charlie-qc6su,2:15:03,0,0,2:15:03 Lie
@thenavaldosays,1:52:04,0,0,1:52:04 KHABIB NURMAGOMEDOV 🇷🇺
@narrowway8044,9:24,0,0,"This is from a book about prayer by Duncan Heaster: Remember that the Lord Jesus is agonizing for you in Heaven, groaning in spirit for your innermost desire to be granted. The language of Romans 8 about His intercession with groanings which cannot be uttered is to be connected with Hebrews 5 speaking of the Lord groaning with strong crying and tears on the cross. The point being that the intensity of His prayer there, struggling for every breath, is the same essential intensity with which He mediates for us now. He died “for us”, and yet right now He appears “before the face of God for us” (Heb. 9:24 RV)."
@Mr.fewer10,1:21:24,5,0,1:21:24 “ i’ll either go as president or I’ll be depressed and won’t bother” 😂
@Mark-yq6lv,19:51,0,0,19:51 sounds very sketchy
@seansilver8757,1:15:20,1,0,1:15:20 ‘These was not a good operations’ 😂😭
@Cypher_Punk_2.0,8:09,0,1,8:09 he had sex on the lincon bed 😂
@toolaazy,1:14:15,0,0,"Why were his uncle's words about the satchel and NYC at 1:14:15 missing here while at the same time mark on Spotify, it says it?? I might have commented already when first watching this... haha"
@JustApasser-by,1:43:00,0,0,1:43:00
@BITWAwesome7,24:00,4,0,Some good times 24:00 2:17:02 2:22:02 2:33:23 2:40:40 2:42:44 2:45:42 2:46:57 2:51:25 2:55:05
@Surfer-iv4qs,1:00:00,0,0,1:00:00 !!!!!!!!
@guileniam,1:36:00,1,0,1:36:00
@milesning7483,45:22,0,0,"@45:22 ""your weave is getting wide""😂"
@Fak3CakeMusic,2:15:25,2,0,2:15:25 😂
@raveomen9469,33:33,0,1,33:33
@andres1991,24:10,0,1,"24:10 was the best haha, I also enjoyed that flight to Afghanistan in the dark story 01:35:05 ""tRumP wAaS a cOwArd"" haha"
@Charhazards,2:03:15,1,0,"i seriously like the politically inclined Joe Rogan , i felt those concerns at 2:03:15"
@moshimoshi5046,2:36:57,0,0,2:36:57 bkmk
@toromihearts272,29:00,0,0,29:00
@toromihearts272,18:48,0,0,18:48 Michael Bloomberg?
@HyraxPiano,2:51:29,0,0,2:51:29
@renixmar3373,03:56:00,0,0,"03:56:00 Wow, he actually did it with his strategy"
@Invisible_Ditto,1:09:30,0,0,1:09:30 then put a cage on the windmill Jesus lmao
@Someonethatplays,2:25:21,2,0,2:25:21 how could you disrespect my glorious king!
